"sale","lot","position","dealer","year","origin_author","origin_cat","school_pntg","diff_origin","logprice","price","count","subject","authorstandard","artistliving","authorstyle","author","winningbidder","winningbiddertype","endbuyer","Interm","type_intermed","Height_in","Width_in","Surface_Rect","Diam_in","Surface_Rnd","Shape","Surface","material","mat","materialCat","nfigures","engraved","original","prevcoll","othartist","paired","figures","finished","lrgfont","relig","landsALL","lands_sc","lands_elem","lands_figs","lands_ment","arch","mytho","peasant","othgenre","singlefig","portrait","still_life","discauth","history","allegory","pastorale","other"
"L1778b",11,0.072847682,"L",1778,"I","I","I",0,4.804021045,"122.0",1,"Couches de Sainte Barbe","Bassano (Jacopo da Ponte), Jacopo",0,"n/a","Jacques Bassan","Unknown","","",NA,"",19.5,14,273,NA,NA,"squ_rect",273,"bois","b","wood",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1777b",28,0.965517241,"J",1777,"F","F","F",0,3.218875825,"25.0",1,"(2) Vues de ports de mer d'Italie","Lacroix de Marseille, Charles-François",1,"n/a","N. la Croix","Quenet","D","D",0,"",13,16,208,NA,NA,"squ_rect",208,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"R1764",104,0.207171315,"R",1764,"F","F","F",0,2.63905733,"14.0",1,"Un riche Paysage avec des Batimens & Edifices à la Romaine","Millet (F), Francisque",0,"n/a","Francisque Milé","Vaurio","U","U",0,"",11,17,187,NA,0,"squ_rect",187,"","","",0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",12,0.037735849,"R",1767,"I","I","I",0,5.993961427,"401.0",1,"(2)Deux Tableaux en pendants un Repos en Egypte;  Angelique qui écrit sur un arbre","Mola (PF), Pier Francesco",0,"n/a","Pierre François Mola, dit le Mole","Renouard, abbé","B","B",0,"",13.75,18.25,250.9375,NA,NA,"squ_rect",250.9375,"toile","t","canvas",0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1765",59,0.967213115,"R",1765,"X","X","D/FL",1,5.094915166,"163.2",1,"Un Tableau d'après Wouwermans","after Wouwerman, Philips",0,"after","d'après Wouvwermans","Unknown","","",NA,"",23,20,460,NA,NA,"squ_rect",460,"toile","t","canvas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"R1776",53,0.160120846,"R",1776,"D/FL","D/FL","D/FL",0,7.60090246,"2,000.0",1,"(2) Paysages avec figures et chariots","Breughel I the Elder (J), Jan",0,"n/a","Jean Breughel, ou Breughel de Velours","Chariot, Antoine-Claude for Blondel d'Azincourt, Berthélémy-Augustin","DC","C",1,"D",8,12,96,NA,NA,"squ_rect",96,"cuivre","c","copper",0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1771",111,0.649122807,"R",1771,"F","F","F",1,4.276666119,"72.0",1,"L'Enfant Jesus avec la Vierge","Fragonard (JH), Jean-Honoré",0,"n/a","M. Fragonard","Gruel, abbé","B","B",0,"",33.5,27,904.5,NA,NA,"squ_rect",904.5,"toile","t","canvas",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1775",21,0.28,"P",1775,"D/FL","D/FL","D/FL",0,3.828641396,"46.0",1,"Trois figures de Paysans autour d'une table, occupés à fumer & à boire","Ostade (I), Isack van",0,"n/a","Isaac van Ostade","Roezer","U","U",0,"",5.5,4.5,24.75,NA,NA,"squ_rect",24.75,"toile","t","canvas",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"R1771",42,0.245614035,"R",1771,"F","F","F",0,5.634789603,"280.0",1,"Moyse & Rebecca","Loir, Nicolas-Pierre",0,"n/a","Nicolas Loyr","Paillet, Alexandre-Joseph","D","D",0,"",11,15.5,170.5,NA,NA,"squ_rect",170.5,"n/a","n/a","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",84,0.815533981,"J",1768,"F","F","F",0,2.48490665,"12.0",1,"Diane dans son Char","Fenouil, Jean César",0,"n/a","Fenouil","Bourbonnois","U","U",0,"",23,18,414,NA,NA,"squ_rect",414,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
